YearMonth,CO_ppm,NO2_ppb,PM25_ugm3,Electric Vehicle (EV) Total,Percent Electric Vehicles,Year,Renewable_Share,Coal_Share,AWND,PRCP,TAVG,TMAX,TMIN
2017-01,0.7612903225806452,36.025925925925925,8.412903225806453,12421.0,0.89,2017,0.7768923608083838,0.047629426842665086,3.589032258064516,237.92,28.365591397849464,36.81737849779087,26.201767304860088
2017-02,0.54,36.95,5.325,12806.0,0.92,2017,0.7768923608083838,0.047629426842665086,4.218,589.5,31.51641791044776,39.690671031096564,30.124386252045827
2017-03,0.5419354838709678,37.61290322580645,4.261290322580645,13099.0,0.94,2017,0.7768923608083838,0.047629426842665086,5.035032258064516,604.69,35.93010752688172,44.608567208271786,34.397341211226
2017-04,0.503448275862069,35.86206896551724,5.3,13435.0,0.97,2017,0.7768923608083838,0.047629426842665086,4.772133333333334,347.18,39.06111111111111,49.9969465648855,37.138931297709924
2017-05,0.5548387096774193,37.236,6.548387096774194,13781.0,0.99,2017,0.7768923608083838,0.047629426842665086,3.874645161290323,230.76,47.92741935483871,61.64844903988183,42.723781388478585
2017-06,0.5,30.540000000000003,6.574074074074074,14124.0,1.02,2017,0.7768923608083838,0.047629426842665086,4.2604,138.31,53.486111111111114,66.13394216133942,47.93759512937595
2017-07,0.5161290322580645,29.36451612903226,6.699999999999999,14421.0,1.04,2017,0.7768923608083838,0.047629426842665086,4.466074074074074,1.9000000000000001,58.865591397849464,73.34218289085545,51.06342182890855
2017-08,0.6555555555555556,42.87931034482759,16.43548387096774,14698.0,1.06,2017,0.7768923608083838,0.047629426842665086,4.477258064516128,12.91,63.25268817204301,77.85970149253731,55.00898203592814
2017-09,0.6181818181818182,38.38518518518519,10.89,14994.0,1.08,2017,0.7768923608083838,0.047629426842665086,4.79039603960396,114.4,55.769444444444446,68.11059907834101,50.38709677419355
2017-10,0.58,32.257894736842104,8.990322580645161,15416.0,1.11,2017,0.7768923608083838,0.047629426842665086,6.157311827956989,444.22,44.486559139784944,55.062130177514796,40.08184523809524
2017-11,0.6142857142857142,34.48823529411764,7.242857142857143,15737.0,1.14,2017,0.7768923608083838,0.047629426842665086,7.106222222222222,656.28,35.96944444444444,43.73972602739726,35.5405819295559
2017-12,0.7935483870967742,,9.270967741935484,15952.0,1.15,2017,0.7768923608083838,0.047629426842665086,5.476559139784946,439.3,32.66935483870968,39.77433628318584,30.456296296296298
2018-01,0.6193548387096774,35.88846153846154,6.245161290322581,16488.0,1.19,2018,0.7688677202857761,0.046408313487767916,7.320967741935484,646.37,35.526881720430104,42.491176470588236,34.73997028231798
2018-02,0.5214285714285715,34.42857142857143,5.256521739130435,16767.0,1.21,2018,0.7688677202857761,0.046408313487767916,8.095238095238095,361.39,31.199404761904763,39.35024549918167,29.67940199335548
2018-03,0.5935483870967742,37.765517241379314,6.687096774193549,17114.0,1.24,2018,0.7688677202857761,0.046408313487767916,6.465268817204301,237.21,35.75268817204301,46.516176470588235,32.70294117647059
2018-04,0.5133333333333333,33.25333333333334,6.076923076923077,17566.0,1.27,2018,0.7688677202857761,0.046408313487767916,7.8244444444444445,508.78,40.733333333333334,51.8969696969697,37.765151515151516
2018-05,0.5193548387096775,38.60333333333333,7.593548387096774,18215.0,1.31,2018,0.7688677202857761,0.046408313487767916,5.469569892473118,57.21,50.47849462365591,63.94395280235988,45.81683899556869
2018-06,0.47,31.127586206896552,6.319999999999999,18836.0,1.36,2018,0.7688677202857761,0.046408313487767916,6.051888888888889,122.05,51.477777777777774,64.13525835866261,47.19908814589666
2018-07,0.532258064516129,39.81612903225806,8.841935483870968,19272.0,1.39,2018,0.7688677202857761,0.046408313487767916,6.242150537634409,21.21,61.86522911051213,76.39117647058823,53.786764705882355
2018-08,0.5545454545454546,42.03103448275862,24.870967741935484,19732.0,1.42,2018,0.7688677202857761,0.046408313487767916,5.647956989247311,34.18,60.07258064516129,73.63555555555556,54.047407407407405
2018-09,0.53,28.775,7.958620689655173,20274.0,1.46,2018,0.7688677202857761,0.046408313487767916,6.209886363636364,141.43,51.705555555555556,63.97549770290965,47.52833078101072
2018-10,0.6774193548387096,31.693548387096776,13.712903225806452,21244.0,1.52,2018,0.7688677202857761,0.046408313487767916,4.723978494623656,333.17,46.68279569892473,56.06470588235294,41.96470588235294
2018-11,0.6260869565217392,32.916666666666664,10.66,22169.0,1.59,2018,0.7688677202857761,0.046408313487767916,5.9623333333333335,455.79,39.269444444444446,46.95744680851064,37.472644376899694
2018-12,0.567741935483871,31.8,7.0,22796.0,1.63,2018,0.7688677202857761,0.046408313487767916,6.5038709677419355,527.31,32.79838709677419,40.34808259587021,32.09587020648968
