YearMonth,CO_ppm,NO2_ppb,PM25_ugm3
2017-01,0.7612903225806452,36.025925925925925,8.412903225806453
2017-02,0.54,36.949999999999996,5.325
2017-03,0.5419354838709678,37.61290322580645,4.261290322580645
2017-04,0.503448275862069,35.86206896551724,5.3
2017-05,0.5548387096774193,37.236,6.548387096774194
2017-06,0.5,30.540000000000003,6.574074074074074
2017-07,0.5161290322580645,29.36451612903226,6.699999999999999
2017-08,0.6555555555555556,42.87931034482759,16.43548387096774
2017-09,0.6181818181818182,38.385185185185186,10.889999999999999
2017-10,0.58,32.257894736842104,8.990322580645161
2017-11,0.6142857142857142,34.48823529411764,7.242857142857143
2017-12,0.7935483870967742,,9.270967741935483
2018-01,0.6193548387096774,35.88846153846154,6.245161290322581
2018-02,0.5214285714285715,34.42857142857143,5.256521739130435
2018-03,0.5935483870967742,37.765517241379314,6.687096774193549
2018-04,0.5133333333333333,33.25333333333334,6.076923076923077
2018-05,0.5193548387096775,38.60333333333333,7.593548387096774
2018-06,0.47,31.127586206896552,6.319999999999999
2018-07,0.532258064516129,39.81612903225806,8.841935483870968
2018-08,0.5545454545454546,42.03103448275862,24.870967741935484
2018-09,0.53,28.775000000000002,7.958620689655173
2018-10,0.6774193548387096,31.693548387096776,13.712903225806452
2018-11,0.6260869565217392,32.916666666666664,10.66
2018-12,0.567741935483871,31.799999999999997,7.0
2019-01,0.7555555555555555,38.36774193548387,10.64516129032258
2019-02,0.5720000000000001,31.564285714285713,7.607142857142857
2019-03,0.43333333333333335,35.95,7.674193548387097
2019-04,0.48333333333333334,29.326666666666664,5.468
2019-05,0.5419354838709678,38.15806451612904,8.212903225806452
2019-06,0.45666666666666667,29.651724137931033,5.644827586206896
2019-07,0.49354838709677423,28.625806451612902,5.699999999999999
2019-08,0.5357142857142857,31.741935483870968,7.338709677419355
2019-09,0.49333333333333335,27.813793103448276,5.29
2019-10,0.5642857142857143,29.393103448275863,7.203333333333333
2019-11,0.6133333333333333,26.616666666666667,9.596666666666666
2019-12,0.6516129032258065,30.6,7.670967741935483
2020-01,0.45161290322580644,32.179310344827584,3.9387096774193546
2020-02,0.5413793103448276,32.334482758620695,6.055172413793104
2020-03,0.4444444444444444,32.73225806451613,6.193548387096774
2020-04,0.38421052631578945,23.7551724137931,5.06923076923077
2020-05,,26.961290322580645,4.258064516129032
2020-06,,21.993333333333332,5.42
2020-07,0.5,23.89032258064516,5.28888888888889
2020-08,0.5142857142857143,25.787096774193547,7.729629629629629
2020-09,0.54,37.86,42.95
2020-10,0.5370370370370371,26.496774193548386,8.274193548387096
2020-11,0.52,26.916666666666668,7.75
2020-12,0.6322580645161291,29.519354838709678,8.45483870967742
2021-01,0.535483870967742,27.961290322580645,6.974193548387096
2021-02,0.425,29.99642857142857,4.832142857142857
2021-03,0.5,31.44516129032258,7.270967741935484
2021-04,0.44666666666666666,31.333333333333332,6.676666666666667
2021-05,0.4129032258064516,24.683870967741935,4.738709677419355
2021-06,0.396,26.558333333333334,7.333333333333333
2021-07,0.40399999999999997,28.35217391304348,6.674193548387097
2021-08,0.5,29.651612903225807,8.803225806451612
2021-09,0.48333333333333334,30.746666666666666,6.8133333333333335
2021-10,0.4806451612903226,26.033333333333335,6.280645161290322
2021-11,0.5433333333333333,25.4,6.633333333333334
2021-12,0.4161290322580645,23.322580645161292,5.480645161290322
2022-01,0.5464285714285715,27.041935483870965,8.845161290322581
2022-02,0.5857142857142856,26.99642857142857,8.585714285714285
2022-03,0.532258064516129,27.990322580645163,6.993548387096775
2022-04,0.4238095238095238,29.111538461538462,5.036666666666666
2022-05,0.39999999999999997,26.79655172413793,4.819354838709677
2022-06,0.4033333333333333,25.743333333333332,5.28
2022-07,0.4483870967741936,28.280645161290323,7.45483870967742
2022-08,0.5032258064516129,33.55483870967742,8.269565217391303
2022-09,0.5321428571428571,30.741666666666664,12.183333333333334
2022-10,0.5928571428571429,36.89655172413793,23.717241379310344
2022-11,0.5137931034482759,25.89333333333333,
2022-12,0.3896551724137931,24.723333333333336,6.277777777777778
2023-01,0.5096774193548387,28.46451612903226,7.725806451612903
2023-02,0.44999999999999996,28.211111111111112,7.625
2023-03,0.45806451612903226,32.56774193548387,7.106451612903226
2023-04,0.38,24.62758620689655,5.933333333333334
2023-05,0.375,26.961904761904766,8.293548387096775
2023-06,0.38,24.52758620689655,7.256521739130435
2023-07,0.4052631578947368,27.276,7.553333333333333
2023-08,0.4869565217391304,31.317241379310346,11.02258064516129
2023-09,0.4666666666666667,29.203333333333333,7.136666666666667
2023-10,0.5,23.83225806451613,7.693548387096774
2023-11,0.5142857142857143,25.768965517241377,9.623333333333333
2023-12,0.5434782608695652,26.264285714285712,7.267741935483872
2024-01,0.4153846153846154,27.913636363636364,5.445161290322581
2024-02,,25.107407407407408,4.289655172413793
2024-03,0.2571428571428572,26.357142857142858,4.763333333333334
2024-04,0.26999999999999996,22.986666666666668,5.0233333333333325
2024-05,0.264516129032258,24.038709677419355,5.567741935483871
2024-06,0.2392857142857143,23.29310344827586,4.9799999999999995
2024-07,0.2655172413793104,28.680769230769233,7.300000000000001
2024-08,0.2777777777777778,28.180769230769233,8.170967741935485
2024-09,0.31,27.527272727272727,8.553333333333335
2024-10,,26.079310344827583,7.84516129032258
2024-11,,24.43,7.736666666666666
2024-12,,25.006451612903227,7.848387096774194
