"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"04/29/2019","AQS","530330030","1","23.4","ppb","22","Seattle-10th & Weller","23","96.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"04/30/2019","AQS","530330030","1","36.5","ppb","34","Seattle-10th & Weller","22","92.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"05/01/2019","AQS","530330030","1","26.8","ppb","25","Seattle-10th & Weller","23","96.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"05/02/2019","AQS","530330030","1","31.3","ppb","29","Seattle-10th & Weller","21","88.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"05/03/2019","AQS","530330030","1","38.4","ppb","36","Seattle-10th & Weller","24","100.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"05/04/2019","AQS","530330030","1","29.4","ppb","27","Seattle-10th & Weller","22","92.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"05/05/2019","AQS","530330030","1","29.8","ppb","27","Seattle-10th & Weller","23","96.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"05/06/2019","AQS","530330030","1","37.6","ppb","35","Seattle-10th & Weller","23","96.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"05/07/2019","AQS","530330030","1","46.4","ppb","43","Seattle-10th & Weller","22","92.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"05/08/2019","AQS","530330030","1","45.1","ppb","42","Seattle-10th & Weller","23","96.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"05/09/2019","AQS","530330030","1","46.7","ppb","43","Seattle-10th & Weller","21","88.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"05/10/2019","AQS","530330030","1","57.2","ppb","54","Seattle-10th & Weller","24","100.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"05/11/2019","AQS","530330030","1","53.4","ppb","50","Seattle-10th & Weller","22","92.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"05/12/2019","AQS","530330030","1","40.1","ppb","38","Seattle-10th & Weller","23","96.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"05/13/2019","AQS","530330030","1","41.2","ppb","39","Seattle-10th & Weller","23","96.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"05/14/2019","AQS","530330030","1","34.1","ppb","32","Seattle-10th & Weller","22","92.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"05/15/2019","AQS","530330030","1","42.6","ppb","40","Seattle-10th & Weller","23","96.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"05/16/2019","AQS","530330030","1","35.3","ppb","33","Seattle-10th & Weller","21","88.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"05/17/2019","AQS","530330030","1","30.3","ppb","28","Seattle-10th & Weller","24","100.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"05/18/2019","AQS","530330030","1","32.6","ppb","30","Seattle-10th & Weller","22","92.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"05/19/2019","AQS","530330030","1","36.8","ppb","34","Seattle-10th & Weller","23","96.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"05/20/2019","AQS","530330030","1","28.2","ppb","26","Seattle-10th & Weller","23","96.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"05/21/2019","AQS","530330030","1","44.3","ppb","42","Seattle-10th & Weller","22","92.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"05/22/2019","AQS","530330030","1","37.8","ppb","35","Seattle-10th & Weller","23","96.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"05/23/2019","AQS","530330030","1","54","ppb","51","Seattle-10th & Weller","21","88.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"05/24/2019","AQS","530330030","1","23.7","ppb","22","Seattle-10th & Weller","24","100.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"05/25/2019","AQS","530330030","1","27.2","ppb","25","Seattle-10th & Weller","22","92.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"05/26/2019","AQS","530330030","1","39","ppb","37","Seattle-10th & Weller","23","96.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"05/27/2019","AQS","530330030","1","28.1","ppb","26","Seattle-10th & Weller","23","96.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"05/28/2019","AQS","530330030","1","27.9","ppb","25","Seattle-10th & Weller","22","92.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"05/29/2019","AQS","530330030","1","45","ppb","42","Seattle-10th & Weller","23","96.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"05/30/2019","AQS","530330030","1","49.3","ppb","46","Seattle-10th & Weller","21","88.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"05/31/2019","AQS","530330030","1","43.3","ppb","41","Seattle-10th & Weller","24","100.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"06/01/2019","AQS","530330030","1","40.7","ppb","38","Seattle-10th & Weller","22","92.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"06/02/2019","AQS","530330030","1","26.1","ppb","25","Seattle-10th & Weller","23","96.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"06/04/2019","AQS","530330030","1","37.4","ppb","35","Seattle-10th & Weller","22","92.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"06/05/2019","AQS","530330030","1","34","ppb","32","Seattle-10th & Weller","23","96.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"06/06/2019","AQS","530330030","1","28.1","ppb","26","Seattle-10th & Weller","21","88.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"06/07/2019","AQS","530330030","1","26.5","ppb","25","Seattle-10th & Weller","24","100.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"06/08/2019","AQS","530330030","1","15.1","ppb","14","Seattle-10th & Weller","22","92.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"06/09/2019","AQS","530330030","1","17.7","ppb","16","Seattle-10th & Weller","23","96.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"06/10/2019","AQS","530330030","1","28.6","ppb","26","Seattle-10th & Weller","22","92.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"06/11/2019","AQS","530330030","1","28","ppb","26","Seattle-10th & Weller","21","88.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"06/12/2019","AQS","530330030","1","68.6","ppb","66","Seattle-10th & Weller","23","96.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"06/13/2019","AQS","530330030","1","38.7","ppb","36","Seattle-10th & Weller","23","96.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"06/14/2019","AQS","530330030","1","24.9","ppb","23","Seattle-10th & Weller","24","100.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"06/15/2019","AQS","530330030","1","37","ppb","35","Seattle-10th & Weller","23","96.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"06/16/2019","AQS","530330030","1","39.6","ppb","37","Seattle-10th & Weller","23","96.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"06/17/2019","AQS","530330030","1","34.1","ppb","32","Seattle-10th & Weller","23","96.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"06/18/2019","AQS","530330030","1","20.7","ppb","19","Seattle-10th & Weller","22","92.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"06/19/2019","AQS","530330030","1","22.4","ppb","21","Seattle-10th & Weller","23","96.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"06/20/2019","AQS","530330030","1","25.1","ppb","24","Seattle-10th & Weller","23","96.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"06/21/2019","AQS","530330030","1","23.4","ppb","22","Seattle-10th & Weller","24","100.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"06/22/2019","AQS","530330030","1","25.4","ppb","24","Seattle-10th & Weller","23","96.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
